gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000214300	367.416751107772	1.36648530003581	0.0606612516294983	22.5264936566413	2.28331348231559e-112	2.09722963334953e-111
ENSG00000170927	183.358765513961	6.380118339239	0.283309308346198	22.5199742870525	2.64521745910513e-112	2.42869733284802e-111
ENSG00000277117	337.757056120567	3.36994333784828	0.149693509761796	22.5122875615035	3.14611591690752e-112	2.88747592234314e-111
ENSG00000149948	2331.89146893567	5.25210383339189	0.233354296339353	22.5069943677149	3.54504471918878e-112	3.25234846593069e-111
ENSG00000116898	4526.19442851229	1.99020404760485	0.0884265515348089	22.5068603610694	3.55577407867681e-112	3.26092852087483e-111
ENSG00000101004	1337.44354514518	-2.3581160536674	0.104776247725759	-22.506208275749	3.60844821907713e-112	3.30795375065921e-111
ENSG00000117118	4371.89378679216	1.63361364879685	0.0725878640788542	22.5053274335529	3.68083945585226e-112	3.37301073820145e-111
ENSG00000269911	77.3025648937051	-3.86375936747448	0.171691993127556	-22.5040160411205	3.79130899038398e-112	3.47289770148171e-111
ENSG00000212464	61.4560767899789	6.40716582206267	0.28475180339883	22.5008788200321	4.06919570201637e-112	3.72600483480455e-111
ENSG00000279155	13.5211120950953	-3.43690568691809	0.152756106130769	-22.4993014942125	4.21649901193074e-112	3.8593923503482e-111
ENSG00000242795	18.2538925736208	6.02386391969119	0.267796088664598	22.4942192013708	4.72829805223769e-112	4.32617347677497e-111
ENSG00000167394	730.658746446857	1.09685877091328	0.0487631402710355	22.4936040791613	4.79430646945664e-112	4.38487380804418e-111
ENSG00000239467	181.693567562607	2.57123365543953	0.114349042490041	22.485834594229	5.7116429409552e-112	5.22185301926171e-111
ENSG00000138759	1201.69270252843	3.31189930643546	0.147297711187299	22.4843908282061	5.90048123496694e-112	5.39241586888391e-111
ENSG00000227094	36.3616040451511	7.08855341006897	0.315265994842852	22.4843577360836	5.9048818118438e-112	5.39435557186147e-111
ENSG00000254706	47.0437965721859	3.64756052883908	0.162245714731155	22.4817064344853	6.26830633376821e-112	5.72415062388344e-111
ENSG00000145681	144.006794249879	4.54860980378196	0.202351105428273	22.4787988884711	6.69256625254689e-112	6.1092242210508e-111
ENSG00000095932	234.496852911777	5.26868432889137	0.234396427827689	22.4776647738187	6.86571746357347e-112	6.2648679699405e-111
ENSG00000163945	664.920800855152	-2.07772448405096	0.0924358221011361	-22.4774815306741	6.89411070139018e-112	6.2883531316725e-111
ENSG00000249962	43.1805531954901	3.08347420887294	0.137189213889373	22.4760687918177	7.11698333060537e-112	6.48914317618038e-111
ENSG00000140993	423.197691011407	-1.67718716649993	0.0746423716595903	-22.4696392840893	8.22565816871537e-112	7.49712701220213e-111
ENSG00000096063	3209.9234123683	1.40328127207431	0.0624571356837091	22.4679094984551	8.55230777142859e-112	7.79184669948664e-111
ENSG00000119608	32.6391752417304	-3.14345018640241	0.139943288035705	-22.4623147742562	9.70009162261728e-112	8.83417190507518e-111
ENSG00000147010	2741.73740951824	1.80205766640004	0.0802415704493048	22.4579062487137	1.07118093864167e-111	9.75182370092122e-111
ENSG00000078237	488.315251268662	2.21467705188668	0.0986530212819289	22.4491558708336	1.30424819899132e-111	1.18690596094987e-110
