ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	core_enrichment
ATM_DN.V1_DN	ATM_DN.V1_DN	97	-0.299726332645493	-1.1107246426338113	0.26221498371335505	0.33356599968977824	4826/10891/7113/4915/7123/7010/11069/1770/25769/30819/51050/2330/8557/94/4680/23498/2054/1183/3706/8111/3753/2561/54413/22808/7093
BMI1_DN.V1_DN	BMI1_DN.V1_DN	122	-0.2839146958309269	-1.0971568308156476	0.2662440570522979	0.33414522596496454	3773/10891/1917/760/8835/80303/140597/57447/23321/4129/5178/8654/1066/11240/55022/25840/8626/10103/27239/1958/8522/5142/2115/28999/56521/1962/4488/2353/10314/6990/2878/28959
BRCA1_DN.V1_DN	BRCA1_DN.V1_DN	110	-0.29309967842547713	-1.1090443246582484	0.2661290322580645	0.33414522596496454	443/5629/6519/27124/3291/5950/2562/57105/80000/56605/2254/22843/8578/10894/6524/58189
NRL_DN.V1_UP	NRL_DN.V1_UP	123	-0.2821319905909851	-1.091032365045605	0.2777777777777778	0.3440029433406917	2103/10297/6326/384/358/51761/8941/92558/79442/83698/148252/1259/22925/7033/27254/387914/7220/4157/3488/162494/8522/9811/1039/5465/23541/79658
P53_DN.V1_UP	P53_DN.V1_UP	184	0.24497233379575675	1.0643513962863993	0.27635327635327633	0.3440029433406917	1029/5655/10874/5645/27074/10232/3429/10403/1365/629/11339/4232/445/1278/23213/3012/51599/2000/1824/3875/4016/1281/3625/3691/1305/7464/8420/5947/688/126353/1832/26018/5754/7045/8099/928/301/9734/115353/10653/3880/3659
CYCLIN_D1_UP.V1_UP	CYCLIN_D1_UP.V1_UP	154	-0.2669749096518507	-1.0676098811414487	0.29493087557603687	0.3586232420429311	4586/1113/6285/5138/762/5648/9413/53358/3270/5923/5310/8857/1672/3397/8844/4661/5153/3040/20/7185/5774/1071/9314/7056/2687/2114/2805/5076/6853/25758/1958/7084/6484/6560
ESC_J1_UP_LATE.V1_DN	ESC_J1_UP_LATE.V1_DN	147	-0.27083038449397406	-1.0752265245723063	0.29275808936825887	0.3586232420429311	4826/6997/9476/6299/8835/5071/1644/32/26577/1153/11001/10395/8643/8448/58494/84254/10235/2121/8745/6775/25830/2735
SIRNA_EIF4GI_DN	SIRNA_EIF4GI_DN	86	0.27989146733416737	1.083923907078739	0.29533678756476683	0.3586232420429311	9319/8076/990/10644/1031/493/3113/8767/1080/54360/11235/65005/4017/4615/6732/55257/29015/55093/6747/10389/10010/80196/55254
CYCLIN_D1_KE_.V1_UP	CYCLIN_D1_KE_.V1_UP	173	0.24441353399065716	1.0558540004711936	0.30919220055710306	0.3730254290592147	1029/10024/5653/3833/6364/4778/1396/8519/341/3222/3934/1143/1043/30850/4917/1138/1290/126208/6631/7139/10669/7545/7791/3101/5424/6629/861/607/1984/6237/5585/1777/4055/196/5479/3835/5279
BMI1_DN_MEL18_DN.V1_UP	BMI1_DN_MEL18_DN.V1_UP	131	0.25369123358122064	1.0604716052747154	0.3170731707317073	0.3800813008130081	131578/3604/7130/10123/29968/51200/2919/3624/5329/24147/719/9846/3936/9076/683/6536/1305/2191/1435/8744/8828/11221/57761/56938/943/8200/8876/3696/3037/8038
SINGH_KRAS_DEPENDENCY_SIGNATURE	SINGH_KRAS_DEPENDENCY_SIGNATURE	20	0.3881704182401734	1.1095156230670578	0.33259911894273125	0.39615309071522764	84985/101/27071/3909/1366/9982/3918
RAPA_EARLY_UP.V1_DN	RAPA_EARLY_UP.V1_DN	151	-0.26394234166206937	-1.0537240336168536	0.3379416282642089	0.39996888914814605	9796/2902/2299/27124/785/22837/4093/5662/3784/22866/8639/1408/4130/8613/5126/23498/65018/1400/25841/7025/1120/5727/5076/2022/51097/4779/11113/7466/84179/4233/5017/1801
CRX_DN.V1_DN	CRX_DN.V1_DN	110	-0.2798017318688229	-1.0587269301203495	0.3435483870967742	0.4040474741326841	148808/2670/816/5950/93664/131544/2791/8844/83700/5126/84532/10924/6038/79689/1026/64283/1307/79683/28316/1958/93649
PDGF_ERK_DN.V1_DN	PDGF_ERK_DN.V1_DN	139	0.2466937251337055	1.0333441293204284	0.37047353760445684	0.4329909470752089	1164/4613/646/2535/1051/9450/10293/899/30850/51491/4609/29901/1944/23625/8445/944/2077/23401/10957/6903/5546/10755/113878/607
IL2_UP.V1_UP	IL2_UP.V1_UP	157	-0.25668014320262905	-1.0297857971489608	0.38778625954198476	0.4504101275425538	443/2670/5745/2562/8835/28231/650/7122/22927/57718/7447/4616/9625/2321/22866/8659/7762/1959/23158/1960/25841/56924/5727/1958/388/23764/2151
P53_DN.V2_DN	P53_DN.V2_DN	112	-0.2683198882358737	-1.02286500208131	0.4171974522292994	0.48157977510419125	1733/6751/6752/4185/2045/9751/64129/2167/8218/2053/2121/64284/1675/6578/22936/1594/2028/55503/5228/3489/4325/9369/81602/2166/3487/8434/26499/26297/3764/9953/2289/8863/7439/8996/406/8309/51302/3199/4524/8437/9187
AKT_UP_MTOR_DN.V1_UP	AKT_UP_MTOR_DN.V1_UP	164	-0.24812829558874722	-0.9972302787264392	0.4518633540372671	0.5152344341766398	53828/7809/51655/25849/610/10900/54997/8000/79669/3784/10347/91947/2321/1363/84254/4355/9068/467/10846/230
BCAT_BILD_ET_AL_DN	BCAT_BILD_ET_AL_DN	45	-0.30977065371010376	-1.0119961923863603	0.4503311258278146	0.5152344341766398	57205/90627/5325/1195/2894/5744/284800/79048/4047/374868/23479/4012/285527/7776/23370/9462
MEK_UP.V1_DN	MEK_UP.V1_DN	177	0.2309209505152787	0.9975833243192203	0.4619718309859155	0.5235680751173709	3429/9636/2537/8357/8519/8345/684/445/4939/8969/8365/3012/11274/4940/1475/4938/6279/4609/8638/4071/9246/10964/841/2161/6890/10561/9830/25939/3665/26018/29889/51012/6445/10813/23586
IL15_UP.V1_UP	IL15_UP.V1_UP	165	0.23202076783803868	0.9922964120583079	0.4744318181818182	0.53125	898/5645/2118/3604/11006/6271/3586/993/5008/51200/51806/6351/3099/6510/3625/50943/4056/1001/65263/9441/4839/92609/10849/54517/191585/5778/6692/56902/54923/7293/5339/5978/4046/51171/11007/84928/196/9816/5373/54913/51330/56652/200424/7855/55911/25907/80324/11040/26145/79693
TBK1.DF_UP	TBK1.DF_UP	273	-0.23230533893222427	-0.993263298875245	0.47238372093023256	0.53125	1114/9388/3306/27445/79669/9638/29970/23015/6695/57205/150759/55022/11343/8644/467/2791/50486/7280/29965/6622/1847/10243/29/22876/54436/11163/1839/3321/5744/80323/115/1601/7039/23673/4804/9765/3290/5533/1845/57037/2026/5328/54629/9988/10314/26278/7079/1152/9648/4860/66008/80205/285203/57212/8460/54566/5523/54662/8406
CAHOY_ASTROGLIAL	CAHOY_ASTROGLIAL	91	-0.26712836227967635	-0.9826135843417353	0.49193548387096775	0.547571044546851	57016/116154/9630/140738/1288/10396/84698/84913/1264/56670/4036/1672/83937/9903/1183/7185/10243/64968/5446/8291/54558/257236/4969/7436/10516
GCNP_SHH_UP_EARLY.V1_DN	GCNP_SHH_UP_EARLY.V1_DN	143	-0.24709013457666193	-0.9758317570601817	0.5062893081761006	0.5602136131889398	2902/5733/9630/2563/4256/132720/57338/90102/1264/3219/56605/863/83700/84532/5153/58528/1594/80014/1130/6450/4929/1958/115/80279/3169/54386/202/8788/2113/257144/5308/10267/1374/3398/5191/2649/55365/126006/84173/3280/91526/145282/114609/8148/10461/444
BCAT_BILD_ET_AL_UP	BCAT_BILD_ET_AL_UP	43	0.2734803895884437	0.942922905037902	0.5470297029702971	0.6013753347976386	6168/6157/10610/7087/113878/94234/81/811/837/10398/6929/6813/51006/80139/1602
CRX_NRL_DN.V1_UP	CRX_NRL_DN.V1_UP	119	-0.2517286440518842	-0.9703817594328548	0.5499207606973059	0.6013753347976386	2670/2103/384/358/51761/92558/79442/5662/1259/22925/7033/114789/7503/4157/8522/9811/1039/5465/53826/23541/5564/79658/4647/9696/6489/5151/4208/51347/79786/6528
MYC_UP.V1_DN	MYC_UP.V1_DN	148	-0.24031058483851733	-0.9546498405503012	0.565015479876161	0.6123465930123295	11223/55384/6529/5063/112476/6857/6710/137872/246176/83875/54055/8644/56131/6792/6038/64780/2185/51062/2894/84056/161176/2593/4804/9867/145567/114783/57561/7011/6843/5091/406/84895/8829/22911/7461/11067/5090/220441/10903/127435/2649
TBK1.DN.48HRS_DN	TBK1.DN.48HRS_DN	50	-0.2813847824898851	-0.933502172832566	0.5665024630541872	0.6123465930123295	1950/5997/596/1429/8869/4482/54386/8821/51382/6804/55608/5154/5601/80347/55111/8727/1846/5588/1738/8870
MTOR_UP.N4.V1_UP	MTOR_UP.N4.V1_UP	184	-0.2351106228325703	-0.9602762333656505	0.5698924731182796	0.6124706463972315	846/384/2246/6752/3708/28231/10083/55815/140803/974/9783/5175/4130/467/51474/7280/5095/2982/57406/8501/1831/590/2805/54836/2710/11320/2585/5213/8553/4969/7436/23236/8566/883/2632
YAP1_UP	YAP1_UP	45	-0.28024786161856097	-0.9155475687758889	0.5877483443708609	0.6280510879848628	814/83648/56660/1267/54414/54981/4638/4338/9639
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP	146	0.22675059330443967	0.9510525244106026	0.603988603988604	0.6417378917378918	3159/11044/3624/5329/51491/24147/221527/8767/6566/84933/3608/54931/1832/10342/3654/51060/29889/9136/54107/83460/11047/5978/10096/54149/6921/9188/1973/945/10276/100287932/51330/10105/29080/1503/3840/59274/51388/4650/6482/23560/10921/9775/5612/6996/1736
PTEN_DN.V2_DN	PTEN_DN.V2_DN	119	-0.24218781803482367	-0.9336030941691205	0.6101426307448494	0.6446139658151798	57597/6926/23492/91316/5997/10202/81575/55753/2261/113177/9495/79608/9185/27344/25805/4217/3040/84448/130872/4929/10579/10391/57185/7975/4092
PRC1_BMI_UP.V1_DN	PRC1_BMI_UP.V1_DN	131	-0.23844589907508804	-0.9300678737703727	0.617693522906793	0.6452999373383815	2670/9920/9899/3373/51761/91316/5365/25802/2261/3206/489/2053/387751/27019/5105/29118/55073/50861/5346/3761/6712/8153/6853/5800
